(00:00~01:00) 工作行程超級滿 但我總是on schedule 隨時都有專案要丁 客戶要件 業績要追 擠不出時間才買生鮮雜貨 我就叫全聯小石達 小石達就像用手機逛全聯 生鮮蔬果 日常用品通通有 一件買齊 最快30分鐘送達 週一補生鮮 週二補蛋奶 週四補柴米油鹽 天天優惠 手夠再想七折 和全聯小石達一起當時間管理大師 歡迎收聽A's大日志 我是A 大家晚上好 今天是10月14號的晚上8點48分 錄音時間 今天呢 主要是在 我家的家裡 我家的家裡 我家的家裡 我家的家裡 我家的家裡 我家的家裡 我家的家裡
(01:00~02:00) 今天呢 是快想日誌的第二天 要來跟大家分享一下 連假的時候 我又做了其他事情 昨天是講 10月10號我們早餐聚 10月9號的時候呢 我有做了一件事情 應該算 蠻重大的事情吧 然後這件事情其實我想做 想很久了 我每一個可能30歲的時候 35歲的時候想做 然後但是一直 沒有 真的非常 下定決心或者是真的 覺得OK 就是它了 就是現在要做了馬上要做的那種 那終於呢在 前幾次的時候 就看到 就有認識的朋友 他是首次次親時 我們比較常見的 應該就是機器刺這樣子
(02:00~03:00) 那首次就是 真的純手工 拿針直接刺青 這樣子 所以就比較特別一點 那我就覺得蠻特別的 然後再看一下他自己 的畫圖的風格 有一些真的是蠻可愛很喜歡 然後我其實跟他 看著他的圖很久 這樣也聊了很久 但是我一直 都沒有下定決心 OK好就來刺了 這樣但是就是 再一直觀望再觀望看他 或是有沒有在 新畫的圖這樣子 然後其實因為我一直都 Focus在花上面 因為他有一系列是花 花花草草的 對我就一直Focus在這上面這樣 就沒有去看其他的圖片 但不知道某一次 我就看到了 某一個就是動物系列的 然後我就 欸 為什麼我之前沒有注意到這個圖案
(03:00~04:00) 對然後我就 跟我的朋友討論說 我覺得這個圖案 我想要 我就是要他 然後我就跟他約了時間 這樣子很快速 超級快速的就看到圖 然後就馬上跟他Check時間 他什麼時候可以這樣子 對所以就是10月9號的時候 我就搭了車子 到台南去找他 就是 這麼的行動派跟我做節目 一樣 對然後 我對台南沒有到非常不熟 反正只要有Go Share跟那個 導航 就可以到他的家 對然後 去了之後 我們就聊了一下然後就 開始了這樣 我個人覺得 沒有到 很痛 可能是我忍痛指數比較高一點 我覺得還好
(04:00~05:00) 對但如果是 像那種機器刺因為他會 有那個嘖嘖嘖嘖的聲音就很像 看牙醫我就會覺得 可能會比較害怕一點 但因為首次 比較 不會有那種機器的 你就會讓你 接了很緊張的聲音所以我就覺得還好 痛感其實也還好 大概就是你可能 捏一下眼皮就 捏一下捏一下捏一下捏一下這樣 不是很用力的捏 對所以我 我個人覺得沒有到非常非常 的痛這樣所以 就覺得還好然後 只是覺得很特 就是這個經驗蠻特別因為是 首次的跟一般的 機器刺不一樣 那就會有那種比較純手工 刺的那種痕跡 在就比較不像 機器刺的線條 這麼的流暢或 流順這樣子 所以我自己很喜歡這個圖案
(05:00~06:00) 在我的右手 他自己是什麼圖案我就不說了啦 對這樣子我怕萬一如果在 路上看到這個圖案的話 大家就知道我是誰了 所以我就不說反正就是在我的右手上面 就對了對然後 呃 後來呢我也在我的左手 食指 對的靠近 就是根部的 那一節我刺了一個 十字架但是是在手 指的側面因為正常 其實大家看很多都是 在就是手指的上面 對但是 我就想要跟別人不一樣 所以我就刺在了 手指的側面 所以就是接近虎口那一面就對了 對所以我自己覺得 很特別而且隨時隨地都可以 看到十字架那我就 會覺得 我的信仰一直都 時時刻刻可以看到他這樣 我就會覺得很安心 然後這個位置也比較
(06:00~07:00) 特別一點嗯所以我自己 很喜歡所以我很常看到 所以大家如果有 發現到的話我前陣子 前幾天反正就是連家那時候的照片 都有這個十字架 對就是那時候 我刺的 所以嗯我自己 很喜歡這兩個刺青 而且我覺得 我能夠認同 我朋友說刺青 會上癮這件事情 刺青真的會上癮 欸對所以我其實 有在想之後是要不要 刺別的別的圖案 然後在其他什麼地方這樣子 對已經有在想了這樣 所以我電腦下次去找他的時候 又多了一個新的也不一定 對對 就覺得蠻特別的 嗯就是給自己一個 紀念吧 對所以 嗯大家如果真的有 真的很喜歡很想要做的事情 就是趁現在去做
(07:00~08:00) 對不做我們可能 就會一直一直在把 把它 順位吧一直把它往後推 那可能就 也許就忘記 要去做這件事情了 再來就是 連假最後一天 就是早餐聚那一天回家嘛 然後我就 其實回到家大概十點多而已 蠻早的而且沒有塞車 然後就回家就是耍廢了 一下你也知道 就是台北累了一整天 我都回家 先耍廢一下發個手機 然後躺一下這樣再去洗澡 然後呢 接下來就要發生一件 很驚人的事情我自己真的也 嗯回想起來也是嚇到了 這樣我就繼續洗完澡 洗完澡之後呢 就可能就查好身體要 出來穿衣服 這樣子就不知道為什麼 我就突然滑倒 重心不如滑倒這樣
(08:00~09:00) 踩到沐浴乳還是什麼 沒有抽乾淨的反正就是滑滑的 滑倒這樣子一個滑倒 我也沒有浮到 浮到那個 洗手台 或者是馬桶或牆壁什麼的 沒有浮到然後我就直接 整個 摔倒然後鼻子去撞到 洗手台先去撞到洗手台 結果後來呢 然後就整個人又摔到 地上然後所以我的右邊 就這樣就去撞到地上這樣子 然後那時候其實我比較痛 的就是鼻子因為鼻子 真的很痛這樣子痛到我有點 頭昏眼花這樣就 受不了然後一直 聞到一種血味 這樣我說完蛋了不對勁 一定是流鼻血這樣子 然後就趕快 嗯 就是捏著鼻子這樣子 我也沒有check因為 太痛了我就是 眼睛又痛所以我就 一直眼睛閉著
(09:00~10:00) 一直眼睛張開這樣子 然後就趕快去穿衣服 就是再走到鏡子 面前就是書桌面前然後要 照鏡子這樣 OK擦掉 有鼻血這樣擦掉有 血這樣我要check一下到底我的 眼角有沒有血或是鼻子有血這樣子 我就擦反正都擦 結果有血 我就拍了動態有一張照片 然後有血fuck 真的是流血了這樣 下一秒我就不知道 發生什麼事情了 對然後 在當我醒來的時候 我仍在我的地板上 對 還有我的鏡子 也在我的地板上 他可能 我真的可能就是太痛痛到 鼻子太痛痛到 有個昏過去 然後就昏倒在地上這樣子 但是過了多久我 真的是不知道 我也沒看時間我自己不知道
(10:00~11:00) 我洗完澡是幾點這樣子 然後醒來是幾點我什麼都不知道 也沒有那個 就是 思緒也沒辦法就是很清楚 這樣子事情也覺得很模糊 所以就是醒來 說為什麼我在地上這樣 然後發生什麼事情了 那一起來就 只有想起來 我知道我要來看我 我跌倒就是流血 這樣我只記得這樣 然後照鏡子之後我就再也不知道 什麼事情了然後起來 再看一下有流鼻血然後 眼角有流血 衣服穿一穿叫車子 然後就去看醫生 這樣子對 那手心還好照了 X光還有 做任何的檢查 鼻子 頭腦腦部然後還有 我的眼睛所有都照過檢查 什麼都沒有事鼻子 沒有斷掉但是就是 腫起來這樣子然後流鼻血
(11:00~12:00) 然後眼角也沒有 破掉就是撞破 需要 縫針不用就是還好 只是擦傷這樣而已 對然後 頭腦也沒有去撞到腦震盪 什麼都沒有但是我就是 在那邊觀察了這樣子 就去觀察 就覺得天啊 我那時候 沒有覺得 很可怕或是什麼反正很 冷靜的去處理這件事情因為也是凌晨 的事情嘛所以就 大家都在睡覺 我就默默的 就是去做這些事情了這樣子 然後那時候我家又沒有人 對所以就 沒有人可以幫我 然後我也沒有想到要打電話給朋友 我後來想說不行我趕快先 叫車子然後 趕快先 救自己這樣 就只能真的是感謝 上帝我 就是不幸中的大幸
(12:00~13:00) 就只有受這樣子小傷 而已真的然後 一切都很冷靜 很理性很理智這樣子去完成 這件事情等到我 回到家裡然後 休息完開始去回想這過程 的時候我真的是 害怕到 哭然後又不能太 用力哭因為鼻子會痛 然後眼睛也會痛所以就只能 默默的掉眼淚因為 這過程真的是 很可怕可怕到 你會去想說萬一 我怎麼了發生什麼事情 怎麼辦然後沒有人知道我發生事情 怎麼辦這樣子就在 房間是鎖著嘛不會有人進來 這樣子會沒有人知道 怎麼辦這樣子然後就覺得害怕 事後回想過程 覺得很害怕這樣 所以就 難過了 一兩個天這樣子 然後隔天就是 我還 跌倒的時候我還
(13:00~14:00) 傳訊息就是在醫院的時候剛好 傳訊息給我們老闆說 我人跌倒了這樣受傷 然後我今天沒辦法去上班請假 這樣 我真的是一個 敬忠職守的人耶我還要 趕快領承受高溫性告知 這樣 所以 就是大家看到我動態 那樣子的經過就是 這樣所以我自己 其實到現在還是有一點 就是覺得 哇而且那種過程還是覺得 很可怕 大家真的要注意 要小心這樣 我覺得在我的那個 浴室裡面放個防滑墊這樣 真的是 然後因為我平常洗完澡 我都會順便洗地板的 對這是很順便的 事情因為洗完澡門裡一定有 泡沫或什麼就順便洗地板 但我那天為什麼沒有 洗甚至沒有可能沒有 沖乾淨因為不知道為什麼可能
(14:00~15:00) 太累了忘記這件事情 對所以就 我真的這件事情 但目前就是過了 四天這樣目前就是 沒事這樣然後明天都 還是有觀察自己的狀況 所以就是大家 別擔心沒事現在 好好的而且破皮的地方 其實也恢復差不多 對我就沒有再貼繃帶了 今天我就沒有再貼繃帶 洗完澡我就吹乾 他的傷口然後就讓他 自然的解加這樣 還好沒有 讓我 漂亮的眼睛受傷了 畢竟我是靠眼睛吃飯 不是啦 反正大家 一切都要小心就對 了好啦 跟大家就是說了這麼多 從開心的刺青 經驗然後一直到這個 驚心動魄的受 傷氣氛很 大這樣我還是
